,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,trending,github_release_downloads,updated_github_id
0,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,BSD-3-Clause,2018-10-31 10:26:29,2026-01-31 12:56:22.000,2026-01-31 12:56:22,15903.0,77.0,730.0,26.0,2569.0,194.0,1563.0,1477.0,2026-01-22 14:15:05.000,25.12.2,74.0,Fast and flexible physics-based battery models in Python.,151.0,139.0,141.0,33,https://pypi.org/project/pybamm,2026-01-22 14:15:05.000,12.0,35681.0,41214.0,https://anaconda.org/conda-forge/pybamm,2025-04-22 14:57:24.651,370733.0,True,others,1,-1.0,,
1,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://github.com/CadQuery/cadquery,https://cadquery.readthedocs.io/,Apache-2.0,2018-10-28 17:57:18,2026-01-29 17:54:28.000,2026-01-29 17:54:28,2184.0,17.0,413.0,66.0,653.0,471.0,763.0,4441.0,2025-10-28 20:24:14.000,2.6.1,33.0,A python parametric CAD scripting framework based on OCCT.,546.0,464.0,114.0,32,https://pypi.org/project/cadquery,2025-10-28 20:05:31.000,82.0,87089.0,88033.0,https://anaconda.org/conda-forge/cadquery,2025-10-29 02:10:50.687,56658.0,True,others,1,,,
2,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,https://stack-of-tasks.github.io/pinocchio/,BSD-2-Clause,2014-10-07 15:42:51,2026-02-01 05:26:44.000,2026-01-15 11:59:38,9954.0,130.0,459.0,66.0,1408.0,91.0,1083.0,3087.0,2026-01-05 14:02:59.000,3.9.0,89.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,105.0,31,https://pypi.org/project/pinocchio,2021-12-15 13:42:46.763,4.0,34286.0,65122.0,https://anaconda.org/conda-forge/pinocchio,2026-01-08 14:54:20.391,2079703.0,True,robotics,1,,90542.0,
3,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://github.com/osqp/osqp,https://osqp.org/,Apache-2.0,2016-09-27 03:02:46,2026-01-31 14:58:26.846,2025-11-10 12:54:10,2982.0,2.0,389.0,40.0,311.0,112.0,278.0,2058.0,2025-10-15 14:04:59.000,1.0.5,45.0,The Operator Splitting QP Solver.,147.0,,36.0,30,https://pypi.org/project/osqp,2026-01-26 21:12:22.000,147.0,2647681.0,2671943.0,https://anaconda.org/conda-forge/osqp,2026-01-31 14:58:26.846,1383782.0,True,solver,1,,167332.0,
4,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,MIT,2019-05-15 17:16:26,2025-12-25 08:58:34.000,2025-11-05 23:01:12,4342.0,37.0,168.0,38.0,37.0,6.0,79.0,1110.0,2025-11-05 22:53:15.000,4.2.9,171.0,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",156.0,147.0,23.0,29,https://pypi.org/project/aerosandbox,2025-11-05 22:53:15.000,9.0,19605.0,19605.0,,,,True,robotics,1,1.0,,
5,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,MIT,2018-03-27 13:57:58,2026-01-30 17:34:35.000,2026-01-05 10:18:11,13009.0,2.0,272.0,31.0,1573.0,128.0,890.0,1465.0,2025-10-25 17:45:44.000,1.12.0,20.0,Linear optimization software.,,,98.0,26,,,,,10409.0,https://anaconda.org/conda-forge/highspy,2025-10-27 09:15:47.797,179581.0,True,solver,1,-4.0,21670.0,
6,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,BSD-2-Clause,2022-05-05 16:01:55,2026-02-01 17:39:17.000,2026-01-20 16:11:08,2120.0,33.0,67.0,16.0,304.0,16.0,78.0,538.0,2025-03-12 15:43:57.000,0.7.2,44.0,The Advanced Proximal Optimization Toolbox.,93.0,77.0,26.0,26,https://pypi.org/project/proxsuite,2025-03-20 17:51:00.000,16.0,55566.0,82601.0,https://anaconda.org/conda-forge/proxsuite,2025-09-04 08:01:54.017,1096175.0,True,solver,1,,39342.0,
7,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,2019-01-28 12:24:22,2026-02-01 12:31:04.000,2026-02-01 12:30:23,2430.0,1.0,304.0,45.0,44.0,9.0,615.0,1699.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,25,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,961.0,34564.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,2125299.0,True,solver,2,,27772.0,
8,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,https://github.com/do-mpc/do-mpc,www.do-mpc.com/,LGPL-3.0,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,,201.0,27.0,108.0,85.0,167.0,1328.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,7.0,,34.0,25,https://pypi.org/project/do-mpc,2025-10-31 09:44:43.000,7.0,10260.0,10606.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,12035.0,True,mpc,1,,384.0,
9,SUNDIALS,,LLNL/sundials,,https://github.com/llnl/sundials,https://computing.llnl.gov/projects/sundials,BSD-3-Clause,2017-10-05 17:20:03,2026-01-31 02:57:45.000,2026-01-26 16:43:46,7041.0,19.0,162.0,36.0,597.0,42.0,212.0,623.0,2026-01-26 19:16:35.000,7.6.0,47.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,47.0,25,,,,,4874.0,,,,True,solver,2,1.0,487411.0,
10,bioptim,,pyomeca/bioptim,conda-forge/bioptim,https://github.com/pyomeca/bioptim,https://github.com/pyomeca/bioptim,MIT,2020-03-31 13:46:21,2026-01-30 17:51:38.000,2026-01-28 21:49:52,8256.0,47.0,56.0,3.0,731.0,62.0,248.0,113.0,2025-11-25 13:12:32.000,Release_3.4.0,23.0,"An optimization framework that links CasADi, Ipopt, ACADOS and biorbd for Optimal Control Problem.",,,42.0,23,,,,,2770.0,https://anaconda.org/conda-forge/bioptim,2025-11-25 13:40:00.513,169018.0,True,robotics,2,1.0,13.0,
11,Deltares RTC-Tools,rtc-tools,rtc-tools/rtc-tools,,https://github.com/rtc-tools/rtc-tools,https://github.com/rtc-tools/rtc-tools,LGPL-3.0,2024-09-04 06:39:27,2026-01-29 16:06:21.000,2026-01-14 11:35:18,1458.0,35.0,8.0,3.0,134.0,41.0,1570.0,13.0,2026-01-20 14:31:09.000,2.7.3,87.0,"RTC-Tools is an open-source Python package designed to model, simulate, and optimize networks or portfolios of assets,..",33.0,22.0,21.0,23,https://pypi.org/project/rtc-tools,2026-01-20 14:20:04.000,11.0,13234.0,13234.0,,,,False,others,2,,,
12,casadi,casadi,casadi/casadi,conda-forge/casadi,https://github.com/casadi/casadi,http://web.casadi.org/,LGPL-3.0,2012-10-31 13:50:50,2025-09-10 07:51:06.000,,,,419.0,,,767.0,,2001.0,2025-09-10 07:51:06.000,3.7.2,46.0,CasADi is a symbolic framework for numeric optimization implementing automatic differentiation in forward and reverse..,179.0,,62.0,22,https://pypi.org/project/casadi,2025-09-10 07:51:06.000,179.0,380089.0,402196.0,https://anaconda.org/conda-forge/casadi,2025-09-04 12:13:38.520,1525383.0,True,casadi-devs,1,,,
13,acados,,acados/acados,,https://github.com/acados/acados,https://docs.acados.org/,,2016-04-05 10:06:48,2026-01-30 12:29:52.000,2026-01-30 12:29:52,8603.0,70.0,301.0,21.0,1398.0,51.0,323.0,1223.0,2025-12-05 16:20:57.000,0.5.3,35.0,Fast and embedded solvers for nonlinear optimal control and nonlinear model predictive control.,,,98.0,22,,,,,1.0,,,,True,mpc,1,,94.0,
14,Clarabel,,oxfordcontrol/Clarabel.rs,conda-forge/clarabel,https://github.com/oxfordcontrol/Clarabel.rs,https://clarabel.org/,Apache-2.0,2022-04-17 13:48:34,2025-12-17 09:55:56.799,2025-09-25 13:24:15,629.0,,38.0,12.0,151.0,14.0,49.0,515.0,2025-06-11 16:41:15.000,0.11.1,18.0,Clarabel.rs: Interior-point solver for convex conic optimisation problems in Rust.,53.0,53.0,11.0,22,,,,,11485.0,https://anaconda.org/conda-forge/clarabel,2025-12-17 09:55:56.799,321582.0,True,solver,3,,,
15,adam,adam-robotics,ami-iit/adam,conda-forge/adam-robotics-casadi,https://github.com/gbionics/adam,https://adam-docs.readthedocs.io/en/latest/,BSD-3-Clause,2021-05-25 07:55:26,2026-01-27 10:33:01.000,2026-01-27 10:31:51,872.0,101.0,27.0,12.0,104.0,8.0,39.0,209.0,2026-01-13 14:01:13.000,0.5.1,21.0,"adam implements a collection of algorithms for calculating rigid-body dynamics in Jax, CasADi, PyTorch, and Numpy.",7.0,7.0,13.0,21,https://pypi.org/project/adam-robotics,2025-12-04 15:47:30.000,,662.0,822.0,https://anaconda.org/conda-forge/adam-robotics-casadi,2026-01-15 11:35:51.417,2410.0,True,robotics,2,,25.0,gbionics/adam
16,DAQP,daqp,darnstrom/daqp,conda-forge/daqp,https://github.com/darnstrom/daqp,https://github.com/darnstrom/daqp,MIT,2021-09-06 07:46:36,2026-01-18 12:06:52.000,2026-01-18 12:06:51,266.0,16.0,18.0,4.0,81.0,13.0,17.0,98.0,2025-07-29 13:01:01.000,0.7.2,10.0,A dual active-set algorithm for convex quadratic programming.,132.0,117.0,6.0,21,https://pypi.org/project/daqp,2025-07-29 13:01:01.000,15.0,132610.0,136538.0,https://anaconda.org/conda-forge/daqp,2025-05-13 07:10:18.750,133149.0,True,solver,3,,563.0,
17,mpc-reinforcement-learning,mpcrl,FilippoAiraldi/mpc-reinforcement-learning,,https://github.com/FilippoAiraldi/mpc-reinforcement-learning,https://mpc-reinforcement-learning.readthedocs.io/,MIT,2022-11-28 16:27:04,2026-01-26 17:32:45.000,2026-01-19 18:22:40,1043.0,14.0,63.0,7.0,22.0,,9.0,632.0,2025-10-17 07:19:27.000,1.4.1,64.0,Reinforcement Learning with Model Predictive Control.,16.0,13.0,4.0,20,https://pypi.org/project/mpcrl,2025-10-17 07:16:13.000,3.0,897.0,897.0,,,,True,machine-learning,1,,,
18,Pymoca,pymoca,pymoca/pymoca,,https://github.com/pymoca/pymoca,https://github.com/pymoca/pymoca,BSD-3-Clause,2014-06-09 22:42:19,2025-04-08 16:59:54.000,2025-03-04 18:16:01,1026.0,,26.0,13.0,229.0,58.0,69.0,92.0,2025-01-28 15:44:27.000,0.9.2,60.0,A Modelica to computer algebra system translator written in python.,28.0,22.0,14.0,19,https://pypi.org/project/pymoca,2025-01-28 15:44:22.000,6.0,14006.0,14006.0,,,,True,others,2,,91.0,
19,l4casadi,l4casadi,Tim-Salzmann/l4casadi,,https://github.com/Tim-Salzmann/l4casadi,https://github.com/Tim-Salzmann/l4casadi,MIT,2023-06-19 14:55:52,2025-06-05 15:17:30.000,2025-06-05 15:17:30,110.0,,44.0,11.0,7.0,4.0,68.0,550.0,2024-10-13 10:14:04.000,2.0.0,7.0,Use PyTorch Models with CasADi for data-driven optimization or learning-based optimal control. Supports Acados.,11.0,11.0,4.0,17,https://pypi.org/project/l4casadi,2024-10-13 10:14:04.000,,275.0,275.0,,,,True,machine-learning,2,,,
20,omg-tools,omg-tools,meco-group/omg-tools,,https://github.com/meco-group/omg-tools,https://github.com/meco-group/omg-tools,LGPL-3.0,2016-03-21 10:48:33,2024-09-12 15:29:08.000,2024-07-03 12:02:01,1759.0,,94.0,29.0,4.0,27.0,65.0,590.0,2017-12-01 14:36:31.000,0.1.3,4.0,Optimal Motion Generation-tools: motion planning made easy.,2.0,2.0,10.0,16,https://pypi.org/project/omg-tools,2017-12-01 14:36:31.000,,62.0,62.0,,,,True,robotics,2,,,
21,MadNLP,,MadNLP/MadNLP.jl,,https://github.com/MadNLP/MadNLP.jl,https://madnlp.github.io/,MIT,2020-09-16 23:07:35,2026-01-28 10:19:04.000,2026-01-26 07:16:44,622.0,41.0,20.0,13.0,442.0,36.0,88.0,238.0,2025-09-08 08:18:58.000,0.8.12,30.0,A solver for nonlinear programming with GPU support.,,,18.0,16,,,,,,,,,True,solver,3,,,
22,rockit,rockit-meco,meco-group/rockit,,https://github.com/meco-group/rockit,https://gitlab.kuleuven.be/meco-software/rockit,LGPL-3.0,2019-08-22 10:02:13,2026-01-27 08:39:08.000,2025-04-04 10:32:07,845.0,,11.0,14.0,2.0,6.0,3.0,57.0,2025-05-08 14:22:54.000,0.6.6,89.0,Rockit (Rapid Optimal Control kit) is a software framework to quickly prototype optimal control problems.,19.0,17.0,18.0,16,https://pypi.org/project/rockit-meco,2026-01-27 08:39:08.000,2.0,1313.0,1313.0,,,,True,casadi-devs,2,,,
