,name,pypi_id,github_id,conda_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,github_release_downloads,trending,updated_github_id
0,PyBaMM,pybamm,pybamm-team/PyBaMM,conda-forge/pybamm,https://github.com/pybamm-team/PyBaMM,https://github.com/pybamm-team/PyBaMM,BSD-3-Clause,2018-10-31 10:26:29,2025-12-18 13:38:00.000,2025-12-17 20:46:55,15852.0,81.0,709.0,28.0,2523.0,194.0,1555.0,1429.0,2025-11-27 16:53:46.000,25.10.2,71.0,Fast and flexible physics-based battery models in Python.,148.0,137.0,141.0,34,https://pypi.org/project/pybamm,2025-11-27 16:53:46.000,11.0,83869.0,89415.0,https://anaconda.org/conda-forge/pybamm,2025-04-22 14:57:24.651,360511.0,True,others,1,,,
1,CadQuery,cadquery,CadQuery/cadquery,conda-forge/cadquery,https://github.com/CadQuery/cadquery,https://cadquery.readthedocs.io/,Apache-2.0,2018-10-28 17:57:18,2025-12-18 11:02:12.000,2025-12-12 17:46:08,2175.0,20.0,395.0,65.0,640.0,471.0,750.0,4265.0,2025-10-28 20:24:14.000,2.6.1,33.0,A python parametric CAD scripting framework based on OCCT.,532.0,450.0,112.0,32,https://pypi.org/project/cadquery,2025-10-28 20:05:31.000,82.0,95851.0,96771.0,https://anaconda.org/conda-forge/cadquery,2025-10-29 02:10:50.687,53375.0,True,others,1,,,
2,pinocchio,pinocchio,stack-of-tasks/pinocchio,conda-forge/pinocchio,https://github.com/stack-of-tasks/pinocchio,https://stack-of-tasks.github.io/pinocchio/,BSD-2-Clause,2014-10-07 15:42:51,2025-12-16 08:48:33.000,2025-12-16 08:48:26,9936.0,165.0,451.0,66.0,1400.0,90.0,1081.0,2953.0,2025-09-17 20:45:34.000,3.8.0,88.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,4.0,,104.0,31,https://pypi.org/project/pinocchio,2021-12-15 13:42:46.763,4.0,56624.0,87188.0,https://anaconda.org/conda-forge/pinocchio,2025-09-22 14:40:35.825,2004612.0,True,robotics,1,82607.0,,
3,OSQP,osqp,osqp/osqp,conda-forge/osqp,https://github.com/osqp/osqp,https://osqp.org/,Apache-2.0,2016-09-27 03:02:46,2025-12-16 01:31:11.898,2025-11-10 12:54:10,2982.0,4.0,383.0,40.0,308.0,112.0,277.0,2022.0,2025-05-08 15:15:55.000,1.0.4,44.0,The Operator Splitting QP Solver.,125.0,,36.0,30,https://pypi.org/project/osqp,2025-10-15 14:04:59.000,125.0,2732805.0,2757237.0,https://anaconda.org/conda-forge/osqp,2025-12-16 01:31:11.898,1353753.0,True,solver,1,154761.0,,
4,HiGHS,,ERGO-Code/HiGHS,conda-forge/highspy,https://github.com/ERGO-Code/HiGHS,https://github.com/ERGO-Code/HiGHS,MIT,2018-03-27 13:57:58,2025-12-18 18:20:26.000,2025-12-11 20:23:13,13008.0,349.0,265.0,33.0,1530.0,125.0,858.0,1413.0,2025-10-25 17:45:44.000,1.12.0,20.0,Linear optimization software.,,,98.0,30,,,,,10483.0,https://anaconda.org/conda-forge/highspy,2025-10-27 09:15:47.797,162167.0,True,solver,1,16727.0,,
5,AeroSandbox,aerosandbox,peterdsharpe/AeroSandbox,,https://github.com/peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,MIT,2019-05-15 17:16:26,2025-11-05 23:05:24.000,2025-11-05 23:01:12,4342.0,39.0,162.0,37.0,37.0,6.0,79.0,1008.0,2025-11-05 22:53:15.000,4.2.9,171.0,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation)...",151.0,142.0,23.0,28,https://pypi.org/project/aerosandbox,2025-11-05 22:53:15.000,9.0,27138.0,27138.0,,,,True,robotics,1,,,
6,do-mpc,do-mpc,do-mpc/do-mpc,conda-forge/do-mpc,https://github.com/do-mpc/do-mpc,www.do-mpc.com/,LGPL-3.0,2015-05-20 22:20:54,2025-10-31 13:21:03.709,2025-10-31 09:36:24,1262.0,23.0,196.0,27.0,108.0,83.0,169.0,1293.0,2025-10-31 09:44:17.000,5.1.1,31.0,Model predictive control python toolbox.,7.0,,34.0,27,https://pypi.org/project/do-mpc,2025-10-31 09:44:43.000,7.0,20304.0,20650.0,https://anaconda.org/conda-forge/do-mpc,2025-10-31 13:21:03.709,11324.0,True,mpc,1,373.0,,
7,Ipopt,ipopt,coin-or/Ipopt,conda-forge/ipopt,https://github.com/coin-or/Ipopt,https://coin-or.github.io/Ipopt/,EPL-2.0,2019-01-28 12:24:22,2025-09-30 09:05:33.000,2025-09-30 09:05:33,2429.0,3.0,304.0,46.0,44.0,7.0,614.0,1674.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,COIN-OR Interior Point Optimizer IPOPT.,10.0,,38.0,26,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,13030.0,46436.0,https://anaconda.org/conda-forge/ipopt,2025-08-18 07:11:47.214,2047085.0,True,solver,2,26460.0,,
8,ProxQP,proxsuite,Simple-Robotics/proxsuite,conda-forge/proxsuite,https://github.com/Simple-Robotics/proxsuite,https://github.com/Simple-Robotics/proxsuite,BSD-2-Clause,2022-05-05 16:01:55,2025-12-15 14:43:02.000,2025-12-15 14:43:02,2107.0,31.0,65.0,16.0,297.0,16.0,77.0,527.0,2025-03-12 15:43:57.000,0.7.2,44.0,The Advanced Proximal Optimization Toolbox.,91.0,75.0,25.0,26,https://pypi.org/project/proxsuite,2025-03-20 17:51:00.000,16.0,51617.0,79184.0,https://anaconda.org/conda-forge/proxsuite,2025-09-04 08:01:54.017,1065955.0,True,solver,2,36792.0,-1.0,
9,SUNDIALS,,LLNL/sundials,,https://github.com/llnl/sundials,https://computing.llnl.gov/projects/sundials,BSD-3-Clause,2017-10-05 17:20:03,2025-12-18 17:22:35.000,2025-09-29 20:50:25,7008.0,5.0,155.0,36.0,567.0,31.0,207.0,616.0,2025-09-29 21:40:22.000,7.5.0,46.0,Official development repository for SUNDIALS - a SUite of Nonlinear and DIfferential/ALgebraic equation Solvers. Pull..,,,47.0,24,,,,,4597.0,,,,True,solver,2,450550.0,-1.0,
